title,artist_name,writers,producer,release_yr,released,streak,acousticness,danceability,energy,instrumentalness
Bitter Sweet Symphony,Jean Claude Corbel,"Mick Jagger, Keith Richards, Richard Ashcroft","The Verve, Christopher Marc Potter, Youth",1997,"Sept. '97, Virgin",20 weeks; No. 12,0.317,0.585,0.317,1.37E-06
Whipping Post,Chorus,Gregg Allman,Tom Dowd,1969,"Nov. '69, Capricorn",Non-single,0.0381,0.799,0.59,8.50E-06
Ticket to Ride,Houcine,"John Lennon, Paul McCartney",George Martin,1965,"April '65, Capitol",11 weeks; No. 1,0.0678,0.746,0.811,0
Tiny Dancer,Lucie Dolene,"John, Bernie Taupin",Gus Dudgeon,1971,"Nov. '71, Uni",7 weeks; No. 41,0.972,0.592,0.299,5.11E-05
Roxanne,Chorus,Sting,The Police,1979,"Jan '79, A&M",13 weeks; No. 32,0.901,0.459,0.806,0
Baby I Need Your Loving,Jean Piat,"Brian Holland, Lamont Dozier, Eddie Holland","Holland, Dozier, Holland",1964,"July '64, Motown",12 weeks; No. 11,0.909,0.624,0.171,0
Summer in the City,Henri Salvador,"John Sebastian, Steve Boone, Mark Sebastian",Erik Jacobsen,1966,"June '66, Kama Sutra",11 weeks; No. 1,0.956,0.7,0.376,0
O-o-h Child,Jean Claude Corbel,Stan Vincent,Vincent,1970,"April '70, Buddha",16 weeks; No. 8,0.709,0.584,0.589,0
Cant Help Falling in Love,Chorus,"George Weiss, Hugo Peretti, Luigi Creatore",Joseph Lilley,1961,"Oct. '61, RCA",14 weeks; No. 1,0.5,0.571,0.759,2.56E-05
(Dont Fear) the Reaper,Randy Newman,Donald Roeser,"Murray Krugman, Sandy Pearlman, David Lucas",1976,"July '76, Columbia",14 weeks; No. 12,0.67,0.189,0.171,0.711
Thirteen,Henri Salvador,"Alex Chilton, Chris Bell",John Fry,1972,"April '72, Ardent",Non-Single,0.983,0.498,0.0658,0.000119
Sweet Home Alabama,Debbie Davis,"Ed King, Gary Rossington, Ronnie Van Zant",Al Kooper,1974,"April '74, MCA",17 weeks; No. 8,0.906,0.365,0.202,4.93E-05
Enter Sandman,Ken Page,"James Hetfield, Lars Ulrich, Kirk Hammett","Bob Rock, Hetfield, Ulrich",1991,"July '91, Elektra",20 weeks; No. 16,0.89,0.392,0.246,3.92E-06
Umbrella,Chorus,"The-Dream, Kuk Harrell,Jay-Z, Christopher ""Tricky"" Stewart","Harrell, Stewart",2007,"March' 07, DefJam",27 weeks; No. 1,0.00506,0.696,0.736,3.66E-05
Visions ofJohanna,Francois Le Roux,Dylan,Bob Johnston,1966,"May '66, Columbia",Non-Single,0.476,0.513,0.546,1.30E-06
Weve OnlyJust Begun,Idoles De La Musique,"Paul Williams, Roger Nichols",Jack Daugherty,1970,"Sept. '70, A&M",17 weeks; No. 2,0.827,0.203,0.312,3.28E-05
In Bloom,Leopold Stokowski,Kurt Cobain,Butch Vig,1991,"Sept. '91, DGC",Non-Single,0.955,0.321,0.134,0.325
Sweet Emotion,Chorus,"Steven Tyler, Tom Hamilton",Jack Douglas,1975,"April '75, Columbia",8 weeks; No. 36,0.578,0.658,0.491,3.33E-06
Monkey Gone to Heaven,Frank Churchill,Black Francis,Gil Norton,1989,"March '89, Elektra",Did Not Chart,0.96,0.346,0.0561,0.142
I Feel Love,Chorus,"Summer, Giorgio Moroder, Pete Bellotte","Moroder, Bellotte",1977,"May '77, Casablanca",23 weeks; No. 6,0.891,0.617,0.336,0
Ode to BillieJoe,Chorus,Gentry,"Kelly Gordon, Bobby Paris",1967,"July '67, Capitol",14 weeks; No. 1,0.156,0.229,0.662,0
The Girl Cant Help It,Henri Salvador,Bobby Troup,"Robert ""Bumps"" Blackwell",1957,"Jan. '57, Specialty",8 weeks; No. 49,0.463,0.119,0.38,0.000115
Young Blood,Le Club des Juniors,"Jerry Leiber, Mike Stoller, Doc Pomus","Leiber, Stoller",1957,"May '57, Atco",11 weeks; No. 1,0.674,0.595,0.783,0.000193
Cant Help Myself,Henri Salvador,"Eddie Holland, Lamont Dozier, Brian Holland","Holland, Dozier, Holland",1965,"June '65, Motown",14 weeks; No. 1,0.0682,0.407,0.457,0
The Boys of Summer,Chorus,"Henley, Mike Campbell","Henley, Campbell, Danny Kortchmar, Greg Ladanyi",1984,"Nov. '84, Geffen",22 weeks; No. 5,0.509,0.307,0.42,0.0111
Juicy,Debbie Davis,The Notorious B.I.G.,"Sean ""Puffy"" Combs, Poke",1994,"Aug '94, Bad Boy",20 weeks; No. 27,0.945,0.554,0.252,0.148
Fuck tha Police,Henri Salvador,"Ice Cube, MC Ren","Dr. Dre, Yella",1989,"Jan. '89, Priority",Non-Single,0.871,0.472,0.344,0
Its Your Thing,Chorus,"Rudolph Isley, Ronald lsley, O'Kelly Isley","R. Isley, R. Isley, O. Isley",1969,"Feb. '69, T-Neck",14 weeks; No. 2,0.654,0.47,0.802,0
Piano Man,Jean Claude Corbel,Joel,Michael Stewart,1973,"Nov. '73, Columbia",14 weeks; No. 25,0.804,0.552,0.308,0
Blue Suede Shoes,Henri Salvador, Perkins, Sam Phillips,1956," Feb '56, Sun",21 weeks; No. 2,0.0367,0.441,0.643,0
William,Henri Salvador,"Johnny Marr, Morrissey",John Porter,1984,"Aug. '84, Sire",Did Not Chart,0.987,0.587,0.00689,0
American Idiot,DorothÃ©e,Green Day,"Rob Cavallo, Green Day",2004,"Oct. '04, Reprise",20 weeks; No. 61,0.982,0.419,0.0205,1.80E-05
Tumbling Dice,Jean Piat,"Mick Jagger, Keith Richards",Jimmy Miller,1972,"April '72, Rolling Stones",10 weeks; No. 7,0.904,0.689,0.155,0
Smoke on the Water,Chorus,"Ritchie Blackmore, Ian Gillian, Roger Glover,Jon Lord, Ian Paice",Deep Purple,1973,"May '73, Warner Bros.",16 weeks; No. 4,0.698,0.632,0.41,0
New Years Day,Leopold Stokowski,"Bono, the Edge, Adam Clayton, Larry MullenJr.",Steve Lillywhite,1983,"April '83, Island",12 weeks; No. 53,0.944,0.206,0.168,0.915
Everybody Needs Somebody to Love,Jean Claude Corbel,"Burke, Bert Berns,Jerry Wexler",Berns,1964,"July '64, Atlantic",8 weeks; No. 58,0.207,0.68,0.585,0
Midnight Train to Georgia,Henri Salvador,Jim Weatherly,Tony Camillo,1973,"Sept. '73, Buddah",19 weeks; No. 1,0.399,0.593,0.557,0
Ramble On,Chorus,"Jimmy Page, Robert Plant",Page,1969,"Oct. '69, Atlantic",Non-Single,0.591,0.764,0.673,5.12E-06
Mustang Sally,Jean Claude Corbel,Sir Mack Rice,Jerry Wexler,1966,"Nov. '66, Atlantic",9 weeks; No. 23,0.6,0.631,0.229,0
Alone Again Or,China Moses,Bryan MacLean,"Arthur Lee, Bruce Botnick",1968,"Jan. '68, Elektra",3 weeks; No. 99,0.301,0.6,0.464,7.58E-06
Beast of Burden,Fabien Nataf,"Mick Jagger, Keith Richards",The Glimmer Twins,1978,"June '78, Rolling Stones",13 weeks; No. 8,0.0468,0.85,0.532,0.00261
Love Me Tender,Claire Guyot,"Presley, Vera Watson",Steve Sholes,1956,"Oct. '56, RCA",23 weeks; No. 1,0.569,0.55,0.678,5.82E-06
I Wanna Be Your Dog,Leopold Stokowski,"Dave Alexander, Ron Asheton, Scott Asheton, Iggy Pop",John Cale,1969,"August '69, Elektra",Did Not Chart,0.946,0.283,0.0161,8.74E-05
Push It,Bernard Minet,"Hurby ""Luv Bug"" Azor",Azor,1987,"Nov. '87, Next Plateau",25 weeks; No. 19,0.804,0.758,0.873,2.03E-06
Pink Houses,Henri Salvador,Mellencamp,"Little Bastard, Don Gehman",1983,"Oct. '83, Riva",16 weeks; No. 8,0.181,0.202,0.802,0
In Da Club,Chorus,"50 Cent, Dr. Dre, Mike Elizondo","Dr. Dre, Elizondo",2002,"Dec. '02, Interscope/Aftermath/Shady",30 weeks; No. 1,0.957,0.387,0.101,3.84E-06
Come Go With Me,Joseph Williams,Clarence E. Quick,Joe Averbach,1957,"Feb. '57, Dot",31 weeks; No. 5,0.871,0.639,0.381,0
I Shot the Sheriff,Chorus,Marley,Chris Blackwell,1973,"Oct. '73, Island",did not chart,0.0492,0.482,0.715,8.90E-05
I Got You Babe,Henri Salvador,Sonny Bono,Bono,1965,"July '65, Atco",14 weeks; No. 1,0.301,0.414,0.493,0
Come As You Are,Chorus,"Kurt Cobain, Nirvana","Butch Vig, Nirvana",1991,"Sept. '91, Geffen",18 weeks; No. 32,0.0531,0.367,0.817,0.00019
Pressure Drop,Bernard Minet,Toots Hibbert,Leslie Kong,1973,"Feb. '73, Mango",Did Not Chart,0.468,0.644,0.972,0
Heroin,Chorus,Lou Reed,"Andy Warhol, Tom Wilson",1967,"March '67, Verve",Non-Single,0.764,0.661,0.392,0
Penny Lane,Chorus,"John Lennon, Paul McCartney",George Martin,1967,"Feb. '67, Capitol",10 weeks; No. 1,0.619,0.673,0.639,3.64E-05
The Twist,Bernard Minet,Hank Ballard,Karl Mann,1960,"Aug. '60, Parkway",39 weeks; No. 1,0.463,0.63,0.925,5.74E-05
Cupid,Chorus,Cooke,"Cooke, Hugo and Luigi",1961,"July '61, RCA",17 weeks; No. 12,0.989,0.593,0.285,6.67E-06
Paradise City,Idoles De La Musique,Guns n' Roses,Mike Clink,1987,"Aug. '87, Geffen",17 weeks; No. 5,0.814,0.347,0.376,0
My Sweet Lord,Chorus,Harrison,"Harrison, Phil Spector",1970,"Nov. '70, Apple",14 weeks; No. 1,0.77,0.464,0.722,0.00747
Sheena Is a Punk Rocker,Henri Salvador,Ramones,"Tony Bongiovi, T. Erdelyi",1977,"May '77, Sire",13 weeks; No. 81,0.989,0.323,0.264,0.0229
All Apologies,Frank Churchill,Kurt Cobain,Steve Albini,1993,"Sept. '93, Geffen",22 weeks; No. 45,0.761,0.251,0.16,0.984
Soul Man,Chorus,"Isaac Hayes, David Porter","Hayes, Porter",1967,"Sept. '67, Stax",15 weeks; No. 2,0.983,0.482,0.263,0.0215
Kiss,Chorus,Prince and the Revolution,Prince and the Revolution,1986,"Feb. '86, Paisley Park",18 weeks; No. 1,0.862,0.474,0.599,0.0716
Rollin Stone,Chorus,McKinley Morganfield,"Leonard Chess, Phil Chess",1948,"1948, Chess",predates chart,0.745,0.656,0.44,0.03
Get Ur Freak On,Anika Noni Rose,"Elliott, Timbaland",Timbaland,2001,"March '01, Gold Mind/Elektra",25 weeks; No. 7,0.988,0.352,0.0886,0.207
Respect Yourself,Martin & les fÃ©es,"Luther Ingram, Mack Rice",Al Bell,1971,"Oct. '71, Stax",14 weeks; No. 12,0.517,0.634,0.752,0
Rain,Bernard Minet,"John Lennon, Paul McCartney",George Martin,1966,"June '66, Capitol",7 weeks; No. 23,0.326,0.695,0.967,0.00681
Standing in the Shadows of Love,Michel Roux,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier",1966,"Dec. '66, Motown",10 weeks; No. 6,0.545,0.638,0.409,0
Surrender,Chorus,Rick Nielsen,Tom Werman,1978,"May '78, Epic",8 weeks; No. 62,0.00255,0.599,0.976,0.00144
Runaway,Henri Salvador,"Shannon, Max Crook","Harry Balk, Irving Micahnik",1961,"March '61, Big Top",17 weeks; No. 1,0.57,0.508,0.366,0
Welcome to theJungle,Chorus,Guns n' Roses,Mike Clink,1987,"Aug. '87, Geffen",17 weeks; No. 7,0.698,0.75,0.373,0
Into the Mystic,Chorus,Morrison,Morrison,1970,"March '70, Warner Bros.",Non-Single,0.908,0.659,0.177,0
Where Did Our Love Go,Chorus,"Brian Holland, Lamont Dozier, Eddie Holland","Brian Holland, Dozier",1964,"June '64, Motown",14 weeks; No. 1,0.885,0.594,0.344,0
Do Right Woman _Êî Do Right Man,Claire Guyot,"Chips Moman, Dan Penn",Jerry Wexler,1967,"March '67, Atlantic",11 weeks; No. 9,0.909,0.507,0.262,0
Last Nite,Leopold Stokowski,Julian Casablancas,Gordon Raphael,2001,"Aug. '01, RCA",Did Not Chart,0.896,0.31,0.412,0.89
I Want to Know What Love Is,Leopold Stokowski,Mick Jones,"Jones, Alex Sadkin",1984,"Nov. '84, Atlantic",21 weeks; No. 1,0.947,0.177,0.391,0.905
Sabotage,DorothÃ©e,Beastie Boys,"Beastie Boys, Mario CaldatoJr.",1994,"May '94, Grand Royal",Did Not Chart,0.751,0.906,0.438,0
Super Freak,Chorus,"James, Alonzo Miller",James,1981,"Aug. '81, Gordy",24 weeks; No. 16,0.446,0.425,0.2,0
Since U Been Gone,Jean Claude Corbel,"Dr. Luke, Max Martin","Dr. Luke, Martin",2004,"Nov. '04, RCA",46 weeks; No. 2,0.625,0.461,0.254,0
White Rabbit,Bernard Minet,Grace Slick,RickJarrard,1967,"Sept. '67, RCA",10 weeks; No. 8,0.58,0.684,0.629,3.28E-06
Cry Me a River,Generation B.O.,"Timbaland, Scott Storch, Timberlake",Timbaland,2002,"Nov. '02, Jive",20 weeks; No. 3,0.012,0.524,0.575,4.84E-06
Lady Marmalade,Debbie Davis,"Bob Crewe, Kenny Nolan",Allen Toussaint,1975,"Jan. '75, Epic",18 weeks; No. 1,0.751,0.625,0.275,2.08E-05
Im Eighteen,Larry Groce,"Michael Bruce, Glen Buxton, Cooper, Dennis Dunway, Neal Smith","Bob Erzin,Jack Richardson",1971,"Feb. '71, Warner Bros.",13 weeks; No. 21,0.415,0.534,0.529,0
Just Like Heaven,Chorus,"Robert Smith, Simon Gallup, Porl Thompson, Lol Tolhurst, Boris Williams","David Allen, Smith",1987,"May '87, Elektra",19 weeks; No. 40,0.167,0.78,0.548,4.65E-06
Under the Boardwalk,Henri Salvador,"Arthur Resnick, Kenny Young",Bert Berns,1964,"June '64, Atlantic",33 weeks; No. 4,0.362,0.546,0.504,0
Clocks,Chorus,Coldplay,"Ken Nelson, Mark Phythian",2002,"Aug. '02, Capitol",22 weeks; No. 29,0.989,0.501,0.19,0
I Love Rock N Roll,Henri Salvador,"Jake Hooker, Alan Merrill","Ritchie Cordell, Kenny Laguna",1982,"Jan. '82, Boardwalk",20 weeks; No. 1,0.152,0.586,0.685,0
I Will Survive,Daniel Lavoie,"Dino Fekaris, Freddie Perren","Fekaris, Perren",1978,"Dec. '78, Polydor",27 weeks; No. 1,0.93,0.302,0.385,0.0917
Time to Pretend,Henri Salvador,"Ben Goldwasser, Andrew VanWyngarden",Dave Fridmann,2008,"Jan '08, Columbia",Did Not Chart,0.0413,0.428,0.671,1.24E-05
Brown Sugar,Chorus,"Mick Jagger, Keith Richards",Jimmy Miller,1971,"April '71, Rolling Stones",12 weeks; No. 1,0.534,0.57,0.445,0
Running on Empty,Chorus,Browne,Browne,1977,"Jan. '77, Asylum",17 weeks; No. 11,0.663,0.618,0.428,0
Miss You,Randy Newman,"Mick Jagger, Keith Richards",The Glimmer Twins,1978,"May '78, Rolling Stones",20 weeks; No. 1,0.987,0.33,0.0317,0.949
Buddy Holly,CÃ©line Languedoc,Rivers Cuomo,Ric Ocasek,1994,"Aug. '94, DGC",21 weeks; No. 18,0.547,0.821,0.32,0
Shop Around,Henri Salvador,"Berry Gordy, Robinson",Gordy,1960,"Dec. '60, Tamla",16 weeks; No. 2,0.652,0.521,0.268,0
